"RSTRNT_ID","RSTRNT_CTGRY_NM","RSTRNT_NM","RSTRNT_ROAD_NM_ADDR","RSTRNT_LNM_ADDR","RSTRNT_TEL_NO","SLE_MENU_INFO_DC","RSTRNT_LA","RSTRNT_LO"
"528908","디저트","터치카페","서울특별시 서대문구 이화여대7길 35","서울특별시 서대문구 대현동 37-9","15225647","그린티 말차 라떼,밀크티,아이스 그린티 말차 라떼,아이스 밀크티,아이스 초코릿,아이스 카페라떼,에스프레소,연한 아메리카노,연한 아이스 아메리카노,진한 아메리카노,진한 아이스 아메리카노,카페라떼,카푸치노,핫 초콜릿","37.5586078","126.9437149"
"82120","디저트","플리즈웨잇","강원도 양양군 현남면 인구길 28-23","강원도 양양군 현남면 인구리 636-5","15778647","달고나라떼,밀크티,바다우유,블루하와이안에이드,아메리카노,아이스바라떼","37.9686393","128.761856"
"775135","떡볶이","볶떡빵","경기도 고양시 일산동구 백석로86번길 64","경기도 고양시 일산동구 백석동 1260-9","16001575","아메리카노(롱블랙),인절미 눈꽃빙수,퐁듀 치즈떡볶이","37.6457264","126.7898336"
"722052","디저트","카페산","충청북도 단양군 가곡면 두산길 196-86","충청북도 단양군 가곡면 사평리 246-33","16444674","망고크러쉬,메이플라떼,바닐라라떼,아메리카노,아이스티,얼그레이,유자차,초콜릿라떼,카페라떼,카푸치노,크림카푸치노,패러글라이딩예약권,헤이즐넛라떼","36.9946676","128.3943776"
"582795","고기요리","느린하루","대전광역시 서구 도산로369번길 72","대전광역시 서구 괴정동 423-18","16615389","생연어3종셋트,생연어사시미,생연어타다끼","36.3398185","127.3894494"
"224693","양식","잇웰","서울특별시 영등포구 당산로 203","서울특별시 영등포구 당산동5가 8","18994666","스테이크,파스타,흰살생선구이","37.5323543","126.8999007"
"698212","디저트","모과나무카페","서울특별시 서대문구 모래내로 231","서울특별시 서대문구 남가좌동 330-43","023029952","라떼,수제요거트,에이드,쥬스,커피,티","37.5748528","126.9245171"
"139848","디저트","카페소미","서울특별시 서대문구 거북골로 8-20","서울특별시 서대문구 홍은동 400-45","023075533","달고나라떼,더치베이비 팬케잌,아메리카노,크로플","37.5818829","126.9255379"
"460458","카페","행복커피","서울특별시 마포구 월드컵북로54길 25","서울특별시 마포구 상암동 1596","023087984","아메리카노,에스프레소,카페라떼,플레인라씨,행복커피","37.5820926","126.8889847"
"27606","중식당","팔레드신","서울특별시 중구 퇴계로 67","서울특별시 중구 회현동1가 210","023174001","꿀소스 이베리코 차슈,라탕면,메추리알 트러플 샤오마이 (3pcs),바삭한 삼겹살 구이,북경오리,북경오리 To Go Kit '럭키덕키',사천식 라즈지,산라 소룡포 (3pcs),소흥주 칠리 새우,홍콩식 소갈비 구이,흑식초 광동식 탕수육","37.5596664","126.9795418"
"3586","한식","하늘이네","서울특별시 용산구 신흥로 96","서울특별시 용산구 용산동2가 1-526","023189933","반반치킨,양념치킨,치즈계란말이,치킨샐러드,치킨후라이드","37.5455076","126.9848309"
"634219","호프","사라스와띠","서울특별시 마포구 동교로29길 10","서울특별시 마포구 연남동 259-3","023220011","PALEALE,넛츠&까망베르,맥앤치즈,멕시칸 비프 칠리 나쵸,바이젠,버터구이 오징어&땅콩,뽀르마지 피자,사라IPA,사라플래터,샥슈카,스낵 볼,심심풀이 버터팝콘,알루프라이즈,카프레제,퀘사딜라,크림 떡볶이,페퍼로니 피자,포테이토 스킨","37.5611103","126.9239091"
"341293","디저트","플랫랜드","서울특별시 마포구 동교로17길 37","서울특별시 마포구 서교동 458-18","023220065","아메리카노","37.5565055","126.9150979"
"553268","요리주점","중경삼림","서울특별시 마포구 독막로3길 52","서울특별시 마포구 서교동 397-5","023220269","맥주 및 그 밖의 술,먹을거리,와인, 싱글몰트, 꼬냑, 데낄라, 보드카, 진,칵테일 및 하우스와인","37.5503966","126.9179931"
"746718","와인","비닐하우스","서울특별시 영등포구 도림로128가길 13-8","서울특별시 영등포구 문래동3가 54-39","023222514","꿀대구스테이크,내추럴와인,들기름라구파스타,바질조개술찜,비닐플레이트,하우스 미소 백숙","37.5142662","126.8976372"
"705574","호프","52nd Street","서울특별시 마포구 월드컵북로6길 93","서울특별시 마포구 연남동 567-39","023224408","그 외 주류,싱글몰트,에일맥주,와인","37.560445","126.9228195"
"791276","이자카야","구운","서울특별시 마포구 포은로 109","서울특별시 마포구 망원동 415-31","023225545","꼬치 구이 7종 SET,꼬치 구이 9종 SET,매로구이","37.5566776","126.9045157"
